	Index	handle	page_n	ne	type_ne	crossref_doi	crossref_phrase	pdf_phrase	funder	matched_funder
75	146	10419/155499	16	TIE		'10.13039/501100004963'	'Seventh Framework Programme'	"The PREMANUS project (1/9/11 to 30/6/15, grant agreement number 285541) is co-funded by the European Union under the Information and Communication Technologies (ICT) theme of the Seventh Framework Programme (FP7) for research, technological development and demonstration, alongside the following project consortium members: Loughborough University, UK
Politecnico di Milano, Italy
SKF GmbH, Germany
Centro Ricerche Fiat S.C.p.A., Italy
Holonix S.r.l, Italy
TIE Nederland B.V., Netherlands
Remedia TSR S.r.l, Italy
Sirris, Belgium
SAP AG, Germany
Epler & Lorenz, Estonia"	Y	Action Damien (Belgium) (Damiaanactie (Belgium)); doi:10.13039/501100016059; 90.00
76	147	10419/155499	16	TSR		'10.13039/501100004963'	'Seventh Framework Programme'	"The PREMANUS project (1/9/11 to 30/6/15, grant agreement number 285541) is co-funded by the European Union under the Information and Communication Technologies (ICT) theme of the Seventh Framework Programme (FP7) for research, technological development and demonstration, alongside the following project consortium members: Loughborough University, UK
Politecnico di Milano, Italy
SKF GmbH, Germany
Centro Ricerche Fiat S.C.p.A., Italy
Holonix S.r.l, Italy
TIE Nederland B.V., Netherlands
Remedia TSR S.r.l, Italy
Sirris, Belgium
SAP AG, Germany
Epler & Lorenz, Estonia"	Y	Thailand Science Research and Innovation (Thailand) (TSRI (Thailand)); doi:10.13039/501100017170; 90.00
77	148	10419/155499	16	SAP		'10.13039/501100004963'	'Seventh Framework Programme'	"The PREMANUS project (1/9/11 to 30/6/15, grant agreement number 285541) is co-funded by the European Union under the Information and Communication Technologies (ICT) theme of the Seventh Framework Programme (FP7) for research, technological development and demonstration, alongside the following project consortium members: Loughborough University, UK
Politecnico di Milano, Italy
SKF GmbH, Germany
Centro Ricerche Fiat S.C.p.A., Italy
Holonix S.r.l, Italy
TIE Nederland B.V., Netherlands
Remedia TSR S.r.l, Italy
Sirris, Belgium
SAP AG, Germany
Epler & Lorenz, Estonia"	Y	Sapheon (United States); doi:10.13039/100007102; 90.00
78	151	10419/157724	20	European Union Seventh Framework Programme		'10.13039/501100004963'	'Seventh Framework Programme'	 The research leading to these results has received funding from the European Union Seventh Framework Programme under the Grant Agreement 314468.	Y	Seventh Framework Programme (Europe) (European Union Seventh Framework Programme (Europe)); doi:10.13039/100011102; 95.00
79	155	10419/157735	9	Egyptian Ministry of Higher Education			'the Deutscher Akademischer Austausch Dienst (DAAD) and the Egyptian Ministry of Higher Education under Grant GERLS 2010'	This study was funded by the Deutscher Akademischer Austausch Dienst (DAAD) and the Egyptian Ministry of Higher Education under Grant GERLS 2010.	Y	Ministry of Higher Education (Egypt); doi:10.13039/501100002385; 90.99
80	158	10419/157735	9	DAAD			'the Deutscher Akademischer Austausch Dienst (DAAD) and the Egyptian Ministry of Higher Education under Grant GERLS 2010'	This study was funded by the Deutscher Akademischer Austausch Dienst (DAAD) and the Egyptian Ministry of Higher Education under Grant GERLS 2010.	Y	Deutscher Akademischer Austauschdienst France (France) (DAAD France (France)); doi:10.13039/100017177; 90.00
81	159	10419/157735	9	GERLS			'the Deutscher Akademischer Austausch Dienst (DAAD) and the Egyptian Ministry of Higher Education under Grant GERLS 2010'	This study was funded by the Deutscher Akademischer Austausch Dienst (DAAD) and the Egyptian Ministry of Higher Education under Grant GERLS 2010.	Y	
82	160	10419/157744	9	Tanzania - Germany Postgraduate Training Programme		'10.13039/501100001655'	'Deutscher Akademischer Austauschdienst'	The corresponding author would like to acknowledge the support of the Ministry of Education and Vocation Training (MoEVT-Tanzania) and the German Academic Exchange Service (DAAD) under the Tanzania-Germany Postgraduate Training Programme.	Y	Leibniz-Gemeinschaft (Germany) ( (Germany)); doi:10.13039/501100001664; 90.00
83	161	10419/157744	9	DAAD		'10.13039/501100001655'	'Deutscher Akademischer Austauschdienst'	The corresponding author would like to acknowledge the support of the Ministry of Education and Vocation Training (MoEVT-Tanzania) and the German Academic Exchange Service (DAAD) under the Tanzania-Germany Postgraduate Training Programme.	Y	Deutscher Akademischer Austauschdienst France (France) (DAAD France (France)); doi:10.13039/100017177; 90.00
84	162	10419/157748	11	Bremen University			'DAAD-Deutscher Akademischer Austauschdienst'	The authors would like to appreciate the support International Graduate School (IGS) of Bremen University to support, help and advice as well as the Deutscher Akademischer Austausch Dienst (DAAD) for financial support of this research under the GSSP programme of the IGS.	Y	
85	163	10419/157748	11	IGS			'DAAD-Deutscher Akademischer Austauschdienst'	The authors would like to appreciate the support International Graduate School (IGS) of Bremen University to support, help and advice as well as the Deutscher Akademischer Austausch Dienst (DAAD) for financial support of this research under the GSSP programme of the IGS.	Y	Rigshospitalet (Denmark); doi:10.13039/501100005111; 90.00
86	164	10419/157748	11	DAAD			'DAAD-Deutscher Akademischer Austauschdienst'	The authors would like to appreciate the support International Graduate School (IGS) of Bremen University to support, help and advice as well as the Deutscher Akademischer Austausch Dienst (DAAD) for financial support of this research under the GSSP programme of the IGS.	Y	Deutscher Akademischer Austauschdienst France (France) (DAAD France (France)); doi:10.13039/100017177; 90.00
87	165	10419/157748	11	GSSP			'DAAD-Deutscher Akademischer Austauschdienst'	The authors would like to appreciate the support International Graduate School (IGS) of Bremen University to support, help and advice as well as the Deutscher Akademischer Austausch Dienst (DAAD) for financial support of this research under the GSSP programme of the IGS.	Y	
88	166	10419/157749	14	European Union		'10.13039/100008605', '10.13039/501100006360'	'InSA', 'BMWi'	 The authors would like to acknowledge the support of the cLINK (Centre of excellence for Learning, Innovation, Networking and Knowledge), Erasmus Mundus Programme of the European Union and the InSA Project, sponsored by the German Federal Ministry for Economic Affairs and Energy (Project Register Number: HRB 24505 HB).	Y	Delegation of the European Union to Pakistan (Europe); doi:10.13039/501100014126; 90.00
89	167	10419/157749	14	German Federal Ministry for Economic Affairs		'10.13039/100008605', '10.13039/501100006360'	'InSA', 'BMWi'	 The authors would like to acknowledge the support of the cLINK (Centre of excellence for Learning, Innovation, Networking and Knowledge), Erasmus Mundus Programme of the European Union and the InSA Project, sponsored by the German Federal Ministry for Economic Affairs and Energy (Project Register Number: HRB 24505 HB).	Y	
90	168	10419/157749	14	LINK		'10.13039/100008605', '10.13039/501100006360'	'InSA', 'BMWi'	 The authors would like to acknowledge the support of the cLINK (Centre of excellence for Learning, Innovation, Networking and Knowledge), Erasmus Mundus Programme of the European Union and the InSA Project, sponsored by the German Federal Ministry for Economic Affairs and Energy (Project Register Number: HRB 24505 HB).	Y	Link Foundation (United States); doi:10.13039/100005238; 90.00
91	169	10419/157749	14	HRB		'10.13039/100008605', '10.13039/501100006360'	'InSA', 'BMWi'	 The authors would like to acknowledge the support of the cLINK (Centre of excellence for Learning, Innovation, Networking and Knowledge), Erasmus Mundus Programme of the European Union and the InSA Project, sponsored by the German Federal Ministry for Economic Affairs and Energy (Project Register Number: HRB 24505 HB).	Y	Harbin University of Science and Technology (China) (HRBUST (China)); doi:10.13039/501100003473; 90.00
92	172	10419/158546	30	Spanish Ministry of Science		'10.13039/501100003329', '10.13039/501100006280', '10.13039/501100002809'	'Ministerio de Economía y Competitividad (ES)', 'Spanish Ministry of Science and Technology', 'Generalitat de Catalunya (ES)', 'Spanish Ministry of Science Technology'	 Matilde P. Machado acknowledges financial support from the Spanish Ministry of Science and Technology Grant SEJ2007-66268 and Ministerio de Economía y Competitividad Grant ECO2010-20504. Anna Sanz-de-Galdeano is also affiliated with CRES- UPF, IZA and MOVE. She acknowledges financial support from the Spanish Ministry of Science and Technology Grants ECO2011-28822 and ECO2014-58434-P.	Y	Ministerio de Ciencia e Innovación (Spain) (Spanish Ministry of Science and Innovation (Spain)); doi:10.13039/501100004837; 90.00
93	177	10419/161741	22	Swedish Research Council for Health			'Swedish Council for Work Life and Work Life and Social Research'	This research was financialy supported by a grant from Swedish Research Council for Health, Working Life and Welfare (FAS / FORTE).	Y	Forskningsrådet om Hälsa, Arbetsliv och Välfärd (Sweden) (Swedish Research Council for Health, Working Life and Welfare (Sweden)); doi:10.13039/501100006636; 90.00
94	178	10419/161741	22	FAS			'Swedish Council for Work Life and Work Life and Social Research'	This research was financialy supported by a grant from Swedish Research Council for Health, Working Life and Welfare (FAS / FORTE).	Y	Forskningsrådet för Arbetsliv och Socialvetenskap (Sweden) (FAS (Sweden)); doi:10.13039/501100001861; 90.00
95	179	10419/161741	22	FORTE			'Swedish Council for Work Life and Work Life and Social Research'	This research was financialy supported by a grant from Swedish Research Council for Health, Working Life and Welfare (FAS / FORTE).	Y	Forskningsrådet om Hälsa, Arbetsliv och Välfärd (Sweden) (FORTE (Sweden)); doi:10.13039/501100006636; 90.00
96	180	10419/161791	12	Research Fund of International Islamic University Malaysia			'ISTAC, International Islamic University Malaysia'	This work was supported by the ISTAC (International Institute of Islamic Thought and Civilization) Research Fund of International Islamic University Malaysia. The authors are grateful to ISTAC of International Islamic University for financial support.	Y	International Islamic University Malaysia (Malaysia); doi:10.13039/501100007297; 95.00
97	181	10419/161791	12	International Islamic University for financial support			'ISTAC, International Islamic University Malaysia'	This work was supported by the ISTAC (International Institute of Islamic Thought and Civilization) Research Fund of International Islamic University Malaysia. The authors are grateful to ISTAC of International Islamic University for financial support.	Y	
